file,width,height,pixels,gamma_max,denoise_h,processing_scale,runtime_s,original_brightness,original_contrast,original_entropy,original_sharpness,enhanced_brightness,delta_brightness,enhanced_contrast,delta_contrast,enhanced_entropy,delta_entropy,enhanced_sharpness,delta_sharpness
10.png,600,400,240000,5.879760343581438,14,1.0,0.6505076885223389,14.568804166666666,7.419177244590488,4.803274154663086,32.84184646606445,129.783325,115.21452083333332,43.939416836644234,36.52023959205375,7.111456871032715,2.308182716369629,4245.77197265625,4212.930126190186
12.png,600,400,240000,5.991353568310538,13,1.0,0.6429903507232666,6.3725875,6.5267340777383,4.1414313316345215,34.85902786254883,80.50244583333334,74.12985833333335,55.778443213765236,49.25170913602694,7.325331211090088,3.1838998794555664,9432.9462890625,9398.087261199951
13.png,600,400,240000,5.771744685868422,14,1.0,0.6376967430114746,18.372725,8.311583848724322,4.915809154510498,43.62662887573242,151.64407083333333,133.27134583333333,49.14029890963542,40.828715060911094,7.1962890625,2.280479907989502,4491.5390625,4447.912433624268
14.png,600,400,240000,5.7711700834333906,14,1.0,0.6819720268249512,18.386395833333335,8.322715047385838,4.91768741607666,43.61513900756836,151.96054583333333,133.57415,49.23330078177506,40.910585734389215,7.198429107666016,2.2807416915893555,4484.6884765625,4441.073337554932
15.png,600,400,240000,6.0,13,1.0,0.6668195724487305,6.810875,4.0675686924388055,3.911026954650879,29.352142333984375,111.031875,104.221,49.0232201851093,44.9556514926705,7.332793235778809,3.4217662811279297,11403.1533203125,11373.801177978516
16.png,600,400,240000,6.0,13,1.0,0.6661808490753174,6.873166666666667,4.090324555854,3.918462038040161,29.19287872314453,111.57475,104.70158333333333,49.098948689737746,45.00862413388374,7.344409942626953,3.425947904586792,11216.7744140625,11187.581535339355
17.png,600,400,240000,5.7360241655260324,14,1.0,0.641042947769165,14.613991666666667,13.484033060126974,5.300961017608643,88.86551666259766,100.62045416666666,86.0064625,58.06646894545709,44.58243588533011,7.706291198730469,2.405330181121826,4747.98388671875,4659.118370056152
18.png,600,400,240000,5.73869900777936,14,1.0,0.6265809535980225,14.546566666666667,13.435903947218769,5.292848110198975,89.05563354492188,100.48782083333333,85.94125416666667,58.322502532623716,44.88659858540495,7.7093000411987305,2.416451930999756,4747.134765625,4658.079132080078
2.png,600,400,240000,5.278675269335508,14,1.0,0.6044058799743652,24.5677125,23.24412986865022,5.471873760223389,55.354549407958984,95.98992083333333,71.42220833333333,61.28097185024402,38.0368419815938,7.440047740936279,1.9681739807128906,2268.969482421875,2213.614933013916
21.png,600,400,240000,5.645653272668521,14,1.0,0.5474905967712402,19.1931625,12.872822822336227,5.194375991821289,40.74434280395508,138.41722916666666,119.22406666666666,67.82205939556698,54.949236573230756,7.508671283721924,2.3142952919006348,4378.37255859375,4337.628215789795
24.png,600,400,240000,5.890756097311774,13,1.0,0.5924606323242188,9.7293375,7.538620296696234,4.369738578796387,27.93438720703125,113.88307916666666,104.15374166666666,67.76567383529854,60.227053538602306,7.294498443603516,2.924759864807129,8168.51318359375,8140.578796386719
25.png,600,400,240000,5.449811937908331,14,1.0,0.5759162902832031,23.456441666666667,17.05122486328369,5.567173480987549,45.937461853027344,123.55335416666667,100.0969125,46.01644274966177,28.96521788637808,7.3237996101379395,1.7566261291503906,1655.1243896484375,1609.1869277954102
26.png,600,400,240000,5.44851192086935,14,1.0,0.6478531360626221,23.496666666666666,17.06736839377673,5.56896448135376,47.3663330078125,123.3281375,99.83147083333333,45.885871426991855,28.818503033215126,7.320583820343018,1.7516193389892578,1650.940185546875,1603.5738525390625
27.png,600,400,240000,6.0,13,1.0,0.5603606700897217,4.306729166666667,5.960301003443475,3.487807035446167,21.309171676635742,79.5160625,75.20933333333333,50.52212667399068,44.5618256705472,7.154788494110107,3.6669814586639404,12496.12890625,12474.819734573364
